,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
0,Email Marketing,Lawtech,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 5,000-7,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-email-marketing-internship-at-lawtech1709482546
1,Full Stack Development,CAP CORPORATE,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 5,500 /month",Just now,https://internshala.com/internship/detail/full-stack-development-internship-in-chennai-at-cap-corporate1709479167
2,Python Development,Employee Forums,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 10,000-12,000 /month",Just now,https://internshala.com/internship/detail/python-development-internship-in-mumbai-at-employee-forums1709470775
3,E-Commerce Business Management,Jaipur Global Services,[['Jaipur']],Immediately,Starts immediatelyImmediately,"₹ 12,000-18,000 /month",Just now,https://internshala.com/internship/detail/e-commerce-business-management-internship-in-jaipur-at-jaipur-global-services1709367711
4,Business Development (Sales),Ukiyo Stays,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",Just now,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-ukiyo-stays1709377134
5,Supply Chain & Logistics Operations,Xboom Utilities Private Limited,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 8,000-12,000 /month",Just now,https://internshala.com/internship/detail/supply-chain-logistics-operations-internship-in-bangalore-at-xboom-utilities-private-limited1709121621
6,Lead Generation,Ennoble Social Innovation Foundation,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",Just now,https://internshala.com/internship/detail/lead-generation-internship-in-mumbai-at-ennoble-social-innovation-foundation1707850890
7,Digital Marketing,COSGrid Systems Private Limited,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 12,000-20,000 /month",Just now,https://internshala.com/internship/detail/digital-marketing-internship-in-chennai-at-cosgrid-systems-private-limited1709031637
8,Data Entry,ODN Digital Services Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",Just now,https://internshala.com/internship/detail/data-entry-internship-in-delhi-at-odn-digital-services-private-limited1709112987
9,Business Strategy,Foreignerds,"[['Gautam Buddha Nagar', 'Greater Noida', 'Ghaziabad', 'Delhi', 'Noida']]",Immediately,Starts immediatelyImmediately,"₹ 5,000-10,000 /month",Just now,https://internshala.com/internship/detail/business-strategy-internship-in-multiple-locations-at-foreignerds1708600691
10,Technical Lead Generation & Business Prospects (IT),RPA Infotech Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 10,000-15,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-technical-lead-generation-business-prospects-it-internship-at-rpa-infotech-private-limited1709096229
11,Business Development (Sales),TechMatys,[['Dehradun']],Immediately,Starts immediatelyImmediately,"₹ 2,000 /month +  Incentives",Just now,https://internshala.com/internship/detail/business-development-sales-internship-in-dehradun-at-techmatys1707800798
12,Game Development,DOTS,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 10,000-15,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-part-time-game-development-internship-at-dots1709469364
13,Artificial Intelligence (AI),Aero360,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",Just now,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-chennai-at-aero3601709467336
14,Sales,Moovick,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 6,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-sales-internship-at-moovick1709460020
15,Python Development,TBTFW VENTURES,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 6,000-8,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-tbtfw-ventures1709463137
16,Software Development,Neuralix.Ai Pvt Ltd,"[['Noida', 'Lucknow', 'Gurgaon', 'Delhi']]",Immediately,Starts immediatelyImmediately,"₹ 40,000 /month",Just now,https://internshala.com/internship/detail/software-development-internship-in-multiple-locations-at-neuralixai-pvt-ltd1709463023
17,Data Science,Druidot Consulting Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 1,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-druidot-consulting-private-limited1709456915
18,Digital Marketing,CK & Sons Textile,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 6,000 /month +  Incentives",Just now,https://internshala.com/internship/detail/work-from-home-digital-marketing-internship-at-ck-sons-textile1709455976
19,Operations,Disha Capital Insurance Brokers Private Limited,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",Just now,https://internshala.com/internship/detail/operations-internship-in-delhi-at-disha-capital-insurance-brokers-private-limited1709454853
20,Software Development,EVC Global,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 8,000 /month",Just now,https://internshala.com/internship/detail/software-development-internship-in-mumbai-at-evc-global1709388362
21,Internet Of Things (IoT),AIOTY Labs,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",Just now,https://internshala.com/internship/detail/internet-of-things-iot-internship-in-chennai-at-aioty-labs1709385407
22,Fundraising,Umran Green Perspective Foundation,[['Work From Home']],Immediately,Starts immediatelyImmediately,Unpaid,Just now,https://internshala.com/internship/detail/work-from-home-fundraising-internship-at-umran-green-perspective-foundation1709381266
23,Data Science,Blackcoffer,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 10,000-12,000 /month",Just now,https://internshala.com/internship/detail/work-from-home-data-science-internship-at-blackcoffer1709378595
