,Title,Company Name,Location,Start Date,Duration,Stipend,Status,Links
0,Data Analytics,Data Lumina,[['Pune']],"
                                1 Apr - 15 Apr' 24                            ",1 Apr - 15 Apr' 24,"₹ 2,500 /week",1 week ago,https://internshala.com/internship/detail/data-analytics-internship-in-pune-at-data-lumina1709019823
1,Influencer Marketing Analytics,Confluencr,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 20,000 /month",1 week ago,https://internshala.com/internship/detail/influencer-marketing-analytics-internship-in-bangalore-at-confluencr1709982014
2,Backend Development,ESSI Integrated Technologies,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 30,000 /month",1 week ago,https://internshala.com/internship/detail/backend-development-internship-in-delhi-at-essi-integrated-technologies1710073356
3,Creative Development & Operations (Hollywood),Continuum Media,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",1 week ago,https://internshala.com/internship/detail/creative-development-operations-hollywood-internship-in-mumbai-at-continuum-media1709960769
4,Operations,Tech Analogy,[['Ahmedabad']],Immediately,Starts immediatelyImmediately,"₹ 22,500-30,000 /month",1 week ago,https://internshala.com/internship/detail/operations-internship-in-ahmedabad-at-tech-analogy1709896902
5,Operations,Qriocity Ventures Private Limited,[['Chennai']],Immediately,Starts immediatelyImmediately,"₹ 15,000-25,000 /month",1 week ago,https://internshala.com/internship/detail/operations-internship-in-chennai-at-qriocity-ventures-private-limited1709755911
6,Captioning,Blacksof,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 1,000 /month +  Incentives",1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-captioning-internship-at-blacksof1710045223
7,Facebook Marketing,Rezoni,[['Delhi']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",1 week ago,https://internshala.com/internship/detail/facebook-marketing-internship-in-delhi-at-rezoni1709630322
8,Business Consultant,Strategized Consulting,[['Ahmedabad']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",1 week ago,https://internshala.com/internship/detail/business-consultant-internship-in-ahmedabad-at-strategized-consulting1709805762
9,Embedded Firmware & Hardware Developer,Ksham Innovation Private Limited,"[['Kanpur', 'Vishakhapatnam']]",Immediately,Starts immediatelyImmediately,"₹ 3,000-8,000 /month",1 week ago,https://internshala.com/internship/detail/embedded-firmware-hardware-developer-internship-in-multiple-locations-at-ksham-innovation-private-limited1709097319
10,E-Commerce Business Management,Jaipur Global Services,[['Jaipur']],Immediately,Starts immediatelyImmediately,"₹ 12,000-18,000 /month",1 week ago,https://internshala.com/internship/detail/e-commerce-business-management-internship-in-jaipur-at-jaipur-global-services1709367711
11,Artificial Intelligence (AI),Urban NXT,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 3,000 /month +  Incentives",1 week ago,https://internshala.com/internship/detail/artificial-intelligence-ai-internship-in-mumbai-at-urban-nxt1709886019
12,Business Development (Sales),Ukiyo Stays,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",1 week ago,https://internshala.com/internship/detail/business-development-sales-internship-in-mumbai-at-ukiyo-stays1709377134
13,Robotics Trainer,MakersLoft Private Limited,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 10,000 /month",1 week ago,https://internshala.com/internship/detail/part-time-robotics-trainer-internship-in-bangalore-at-makersloft-private-limited1709551411
14,Lead Generation,Ennoble Social Innovation Foundation,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 week ago,https://internshala.com/internship/detail/lead-generation-internship-in-mumbai-at-ennoble-social-innovation-foundation1707850890
15,Business Strategy,Foreignerds,"[['Noida', 'Delhi', 'Ghaziabad', 'Gautam Buddha Nagar', 'Greater Noida']]",Immediately,Starts immediatelyImmediately,"₹ 5,000-10,000 /month",1 week ago,https://internshala.com/internship/detail/business-strategy-internship-in-multiple-locations-at-foreignerds1708600691
16,Full Stack Development,Ignis Tech Solutions,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 8,000-10,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-full-stack-development-internship-at-ignis-tech-solutions1710070218
17,Artificial Intelligence (AI),Ostello India Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 8,000-15,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-ostello-india-private-limited1710061796
18,Python Development,Sarva Suvidhaen Private Limited,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month +  Incentives",1 week ago,https://internshala.com/internship/detail/work-from-home-python-development-internship-at-sarva-suvidhaen-private-limited1710050081
19,Web Automation Engineering,Eulercoder Technologies LLP,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 15,000-20,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-web-automation-engineering-internship-at-eulercoder-technologies-llp1710043414
20,Machine Learning,RevoltronX,[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 2,000 /month",1 week ago,https://internshala.com/internship/detail/work-from-home-machine-learning-internship-at-revoltronx1710043049
21,Machine Learning,Provakil Technologies LLP,[['Pune']],Immediately,Starts immediatelyImmediately,"₹ 25,000 /month",1 week ago,https://internshala.com/internship/detail/machine-learning-internship-in-pune-at-provakil-technologies-llp1709996810
22,Mechatronics,OneAccord,[['Mumbai']],Immediately,Starts immediatelyImmediately,"₹ 5,000 /month",1 week ago,https://internshala.com/internship/detail/mechatronics-internship-in-mumbai-at-oneaccord1709996109
23,Python Scraping,Across The Globe (ATG),[['Work From Home']],Immediately,Starts immediatelyImmediately,"₹ 2,500 /month +  Incentives",1 week ago,https://internshala.com/internship/detail/work-from-home-part-time-python-scraping-internship-at-across-the-globe-atg1709990594
24,Python Development,Silfra Technologies,[['Bangalore']],Immediately,Starts immediatelyImmediately,"₹ 15,000 /month",1 week ago,https://internshala.com/internship/detail/python-development-internship-in-bangalore-at-silfra-technologies1709980848
